date,year,business_entrants,date_label,,business_exits,capital_investment,farm_cash_receipts,gdp_current_dollars,region,oil_wcs_mean,oil_wti_mean,oil_wcs_min,oil_wti_min,oil_wcs_max,oil_wti_max,unemp_mean,unemp_min,unemp_max,net_migration
2015-01-01,2015,2937,2015-01-01T00:00:00,,2253,75676200000,3654775000,3.17733E+11,Alberta,35.275,48.68833333,22.51,37.19,51.29,59.82,5.9,4.8,6.8,9035.5
2015-01-01,2015,2937,2015-01-01T00:00:00,,2253,75676200000,3190928000,3.17733E+11,Alberta,35.275,48.68833333,22.51,37.19,51.29,59.82,5.9,4.8,6.8,9035.5
2015-01-01,2015,2937,2015-01-01T00:00:00,,2253,75676200000,3586011000,3.17733E+11,Alberta,35.275,48.68833333,22.51,37.19,51.29,59.82,5.9,4.8,6.8,9035.5
2015-01-01,2015,2937,2015-01-01T00:00:00,,2253,75676200000,3175541000,3.17733E+11,Alberta,35.275,48.68833333,22.51,37.19,51.29,59.82,5.9,4.8,6.8,9035.5
2015-01-01,2015,2937,2015-01-01T00:00:00,,2310,75676200000,3654775000,3.17733E+11,Alberta,35.275,48.68833333,22.51,37.19,51.29,59.82,5.9,4.8,6.8,9035.5
2015-01-01,2015,2937,2015-01-01T00:00:00,,2310,75676200000,3190928000,3.17733E+11,Alberta,35.275,48.68833333,22.51,37.19,51.29,59.82,5.9,4.8,6.8,9035.5
2015-01-01,2015,2937,2015-01-01T00:00:00,,2310,75676200000,3586011000,3.17733E+11,Alberta,35.275,48.68833333,22.51,37.19,51.29,59.82,5.9,4.8,6.8,9035.5
2015-01-01,2015,2937,2015-01-01T00:00:00,,2310,75676200000,3175541000,3.17733E+11,Alberta,35.275,48.68833333,22.51,37.19,51.29,59.82,5.9,4.8,6.8,9035.5
2015-01-01,2015,2937,2015-01-01T00:00:00,,2325,75676200000,3654775000,3.17733E+11,Alberta,35.275,48.68833333,22.51,37.19,51.29,59.82,5.9,4.8,6.8,9035.5
2015-01-01,2015,2937,2015-01-01T00:00:00,,2325,75676200000,3190928000,3.17733E+11,Alberta,35.275,48.68833333,22.51,37.19,51.29,59.82,5.9,4.8,6.8,9035.5
2015-01-01,2015,2937,2015-01-01T00:00:00,,2325,75676200000,3586011000,3.17733E+11,Alberta,35.275,48.68833333,22.51,37.19,51.29,59.82,5.9,4.8,6.8,9035.5
2015-01-01,2015,2937,2015-01-01T00:00:00,,2325,75676200000,3175541000,3.17733E+11,Alberta,35.275,48.68833333,22.51,37.19,51.29,59.82,5.9,4.8,6.8,9035.5
2015-01-01,2015,2937,2015-01-01T00:00:00,,2544,75676200000,3654775000,3.17733E+11,Alberta,35.275,48.68833333,22.51,37.19,51.29,59.82,5.9,4.8,6.8,9035.5
2015-01-01,2015,2937,2015-01-01T00:00:00,,2544,75676200000,3190928000,3.17733E+11,Alberta,35.275,48.68833333,22.51,37.19,51.29,59.82,5.9,4.8,6.8,9035.5
2015-01-01,2015,2937,2015-01-01T00:00:00,,2544,75676200000,3586011000,3.17733E+11,Alberta,35.275,48.68833333,22.51,37.19,51.29,59.82,5.9,4.8,6.8,9035.5
2015-01-01,2015,2937,2015-01-01T00:00:00,,2544,75676200000,3175541000,3.17733E+11,Alberta,35.275,48.68833333,22.51,37.19,51.29,59.82,5.9,4.8,6.8,9035.5
